time,control,MK801
9.25,-47.1875,-53.8125
9.25005,-47.09375,-53.96875
9.2501,-47.40625,-54.03125
9.25015,-47.71875,-53.96875
9.250200000000001,-47.5625,-53.59375
9.250250000000001,-47.3125,-53.96875
9.250300000000001,-47.53125,-54.03125
9.250350000000001,-47.625,-54.125
9.2504,-47.40625,-53.90625
9.25045,-46.96875,-53.53125
9.2505,-47.21875,-53.75
9.25055,-47.65625,-53.90625
9.2506,-47.65625,-53.90625
9.25065,-47.28125,-53.6875
9.2507,-47.25,-53.59375
9.25075,-47.5,-53.78125
9.2508,-47.3125,-53.9375
9.25085,-46.96875,-53.65625
9.2509,-46.96875,-53.53125
9.25095,-47.5625,-53.75
9.251000000000001,-47.65625,-54.03125
9.251050000000001,-47.375,-53.5625
9.251100000000001,-46.9375,-53.5
9.25115,-47.28125,-53.53125
9.2512,-47.375,-53.59375
9.25125,-47.1875,-53.875
9.2513,-46.875,-53.625
9.25135,-47.46875,-53.46875
9.2514,-47.75,-53.46875
9.25145,-47.375,-53.8125
9.2515,-46.9375,-53.6875
9.25155,-47.1875,-53.34375
9.2516,-47.4375,-53.46875
9.25165,-47.0625,-53.59375
9.2517,-46.96875,-53.59375
9.251750000000001,-47.28125,-53.625
9.251800000000001,-47.59375,-53.71875
9.251850000000001,-47.46875,-53.5625
9.251900000000001,-47.125,-53.59375
9.25195,-47.03125,-53.46875
9.252,-47.125,-53.53125
9.25205,-47.3125,-53.46875
9.2521,-47.25,-53.34375
9.25215,-47.03125,-53.625
9.2522,-47.25,-53.5
9.25225,-47.5,-53.375
9.2523,-47.03125,-53.34375
9.25235,-46.8125,-53.5625
9.2524,-46.96875,-53.5625
9.25245,-47.21875,-53.3125
9.252500000000001,-47.125,-53.46875
9.252550000000001,-47.125,-53.5
9.252600000000001,-47.15625,-53.34375
9.252650000000001,-47.3125,-53.125
9.2527,-47.1875,-53.5
9.25275,-46.96875,-53.25
9.2528,-46.71875,-53.1875
9.25285,-47.21875,-53.15625
9.2529,-47.34375,-53.125
9.25295,-47.28125,-53.21875
9.253,-46.8125,-53.125
9.25305,-47.25,-53.09375
9.2531,-47.28125,-53.09375
9.25315,-46.9375,-53.0
9.2532,-46.75,-53.0
9.253250000000001,-47.1875,-53.0
9.253300000000001,-47.46875,-53.15625
9.253350000000001,-47.28125,-52.9375
9.253400000000001,-46.84375,-52.90625
9.25345,-47.09375,-52.96875
9.2535,-47.125,-53.125
9.25355,-46.90625,-53.0
9.2536,-46.59375,-52.9375
9.25365,-46.75,-52.75
9.2537,-47.375,-52.84375
9.25375,-47.28125,-52.96875
9.2538,-46.875,-52.96875
9.25385,-46.6875,-52.84375
9.2539,-47.0,-52.78125
9.25395,-47.03125,-52.9375
9.254,-46.75,-53.03125
9.254050000000001,-46.78125,-52.78125
9.254100000000001,-47.15625,-52.6875
9.254150000000001,-47.40625,-52.90625
9.2542,-47.0625,-52.875
9.25425,-46.71875,-52.65625
9.2543,-46.9375,-52.59375
9.25435,-47.15625,-52.8125
9.2544,-46.96875,-52.71875
9.25445,-46.90625,-52.90625
9.2545,-47.03125,-52.875
9.25455,-47.25,-52.6875
9.2546,-46.9375,-52.625
9.25465,-46.75,-53.0
9.2547,-46.5625,-52.78125
9.25475,-46.9375,-52.5625
9.254800000000001,-47.0625,-52.625
9.254850000000001,-46.8125,-52.78125
9.254900000000001,-46.8125,-52.9375
9.254950000000001,-47.15625,-52.5625
9.255,-47.03125,-52.59375
9.25505,-46.875,-52.71875
9.2551,-46.65625,-52.625
9.25515,-46.8125,-52.625
9.2552,-47.15625,-52.5625
9.25525,-47.125,-52.5625
9.2553,-47.0,-52.625
9.25535,-46.90625,-52.59375
9.2554,-47.03125,-52.59375
9.25545,-46.84375,-52.375
9.2555,-46.5625,-52.3125
9.255550000000001,-46.40625,-52.625
9.255600000000001,-47.0625,-52.71875
9.255650000000001,-47.1875,-52.40625
9.255700000000001,-46.90625,-52.21875
9.25575,-46.65625,-52.5625
9.2558,-47.03125,-52.59375
9.25585,-46.96875,-52.21875
9.2559,-46.71875,-52.46875
9.25595,-46.375,-52.375
9.256,-47.03125,-52.5
9.25605,-47.3125,-52.3125
9.2561,-47.125,-52.1875
9.25615,-46.6875,-52.28125
9.2562,-46.875,-52.3125
9.25625,-47.0625,-52.5
9.256300000000001,-46.8125,-52.4375
9.256350000000001,-46.5625,-52.25
9.256400000000001,-46.875,-52.21875
9.256450000000001,-47.25,-52.40625
9.2565,-47.0,-52.5625
9.25655,-46.625,-52.15625
9.2566,-46.46875,-52.125
9.25665,-47.0,-52.4375
9.2567,-46.71875,-52.1875
9.25675,-46.75,-52.28125
9.2568,-46.65625,-52.21875
9.25685,-47.125,-52.25
9.2569,-46.90625,-52.25
9.25695,-46.78125,-52.25
9.257,-46.4375,-52.25
9.25705,-46.6875,-52.09375
9.257100000000001,-46.875,-52.125
9.257150000000001,-46.8125,-52.375
9.257200000000001,-46.625,-52.1875
9.25725,-46.78125,-52.21875
9.2573,-47.03125,-52.0
9.25735,-46.84375,-52.125
9.2574,-46.4375,-52.34375
9.25745,-46.40625,-52.15625
9.2575,-46.75,-52.125
9.25755,-46.9375,-52.09375
9.2576,-46.84375,-52.125
9.25765,-46.75,-52.28125
9.2577,-46.90625,-52.0
9.25775,-46.90625,-52.125
9.2578,-46.6875,-52.0625
9.257850000000001,-46.4375,-52.0625
9.257900000000001,-46.8125,-52.09375
9.257950000000001,-47.0,-52.0
9.258000000000001,-46.84375,-51.90625
9.25805,-46.4375,-52.0
9.2581,-46.625,-52.03125
9.25815,-47.0,-51.8125
9.2582,-46.6875,-51.65625
9.25825,-46.21875,-51.84375
9.2583,-46.71875,-52.09375
9.25835,-47.125,-52.0
9.2584,-46.90625,-51.65625
9.25845,-46.59375,-51.875
9.2585,-46.53125,-51.875
9.25855,-46.71875,-51.78125
9.258600000000001,-46.59375,-51.90625
9.258650000000001,-46.53125,-51.90625
9.258700000000001,-46.4375,-51.6875
9.258750000000001,-46.8125,-51.75
9.2588,-46.96875,-51.875
9.25885,-46.6875,-51.625
9.2589,-46.28125,-51.65625
9.25895,-46.53125,-51.78125
9.259,-46.75,-51.875
9.25905,-46.5,-51.71875
9.2591,-46.625,-51.5
9.25915,-46.84375,-51.71875
9.2592,-47.03125,-51.625
9.25925,-46.8125,-51.875
9.2593,-46.34375,-51.5625
9.259350000000001,-46.46875,-51.5625
9.259400000000001,-46.71875,-51.53125
9.259450000000001,-46.78125,-51.71875
9.259500000000001,-46.65625,-51.78125
9.25955,-46.5625,-51.34375
9.2596,-46.8125,-51.53125
9.25965,-46.84375,-51.5625
9.2597,-46.5,-51.78125
9.25975,-46.40625,-51.5625
9.2598,-46.5625,-51.46875
9.25985,-46.78125,-51.5
9.2599,-46.75,-51.8125
9.25995,-46.5,-51.5625
9.26,-46.78125,-51.3125
9.26005,-46.875,-51.40625
9.260100000000001,-46.625,-51.59375
9.260150000000001,-46.28125,-51.6875
9.260200000000001,-46.34375,-51.4375
9.260250000000001,-46.5625,-51.375
9.2603,-46.78125,-51.4375
9.26035,-46.6875,-51.625
9.2604,-46.4375,-51.6875
9.26045,-46.65625,-51.3125
9.2605,-46.65625,-51.28125
9.26055,-46.5,-51.53125
9.2606,-46.125,-51.53125
9.26065,-46.71875,-51.4375
9.2607,-47.09375,-51.125
9.26075,-46.75,-51.1875
9.2608,-46.21875,-51.4375
9.26085,-46.6875,-51.59375
9.260900000000001,-46.8125,-51.34375
9.260950000000001,-46.4375,-51.15625
9.261000000000001,-46.15625,-51.40625
9.261050000000001,-46.6875,-51.40625
9.2611,-47.03125,-51.40625
9.26115,-46.65625,-51.25
9.2612,-46.375,-51.15625
9.26125,-46.40625,-51.21875
9.2613,-46.71875,-51.4375
9.26135,-46.5,-51.3125
9.2614,-46.40625,-51.0625
9.26145,-46.53125,-50.875
9.2615,-47.03125,-51.40625
9.26155,-46.9375,-51.375
9.2616,-46.46875,-51.03125
9.261650000000001,-46.3125,-51.125
9.261700000000001,-46.6875,-51.46875
9.261750000000001,-46.625,-51.3125
9.261800000000001,-46.71875,-51.21875
9.26185,-46.5625,-51.0
9.2619,-46.8125,-51.0625
9.26195,-46.875,-51.125
9.262,-46.6875,-51.34375
9.26205,-46.4375,-51.03125
9.2621,-46.375,-50.9375
9.26215,-46.5,-51.0625
9.2622,-46.5625,-51.4375
9.26225,-46.625,-51.21875
9.2623,-46.46875,-50.8125
9.26235,-46.75,-51.03125
9.262400000000001,-46.71875,-51.09375
9.262450000000001,-46.375,-51.375
9.262500000000001,-46.125,-50.84375
9.262550000000001,-46.5,-50.90625
9.2626,-46.8125,-51.09375
9.26265,-46.78125,-51.25
9.2627,-46.4375,-50.96875
9.26275,-46.6875,-50.84375
9.2628,-46.75,-51.0
9.26285,-46.5625,-51.125
9.2629,-46.25,-51.21875
9.26295,-46.4375,-50.9375
9.263,-46.875,-50.78125
9.26305,-46.96875,-50.8125
9.2631,-46.59375,-51.21875
9.263150000000001,-46.53125,-51.15625
9.263200000000001,-46.8125,-50.71875
9.263250000000001,-46.78125,-50.90625
9.263300000000001,-46.3125,-51.03125
9.26335,-46.4375,-51.1875
9.2634,-47.03125,-50.9375
9.26345,-46.8125,-50.84375
9.2635,-46.59375,-51.03125
9.26355,-46.34375,-51.0
9.2636,-46.625,-51.09375
9.26365,-46.78125,-50.8125
9.2637,-46.46875,-50.78125
9.26375,-46.375,-50.84375
9.2638,-46.71875,-51.15625
9.26385,-46.96875,-50.9375
9.2639,-46.90625,-50.78125
9.263950000000001,-46.375,-50.71875
9.264000000000001,-46.5,-51.0625
9.264050000000001,-46.75,-51.0625
9.264100000000001,-46.5,-50.78125
9.26415,-46.46875,-50.875
9.2642,-46.59375,-50.875
9.26425,-47.0,-51.25
9.2643,-46.78125,-50.9375
9.26435,-46.5625,-50.71875
9.2644,-46.25,-50.78125
9.26445,-46.46875,-50.84375
9.2645,-46.5625,-51.25
9.26455,-46.59375,-50.96875
9.2646,-46.65625,-50.78125
9.26465,-46.78125,-50.71875
9.264700000000001,-46.78125,-51.09375
9.264750000000001,-46.6875,-51.125
9.264800000000001,-46.3125,-50.5625
9.264850000000001,-46.4375,-50.78125
9.2649,-46.8125,-50.96875
9.26495,-46.90625,-51.25
9.265,-46.5,-50.65625
9.26505,-46.5625,-50.4375
9.2651,-46.8125,-50.875
9.26515,-46.59375,-51.03125
9.2652,-46.34375,-50.90625
9.26525,-46.28125,-50.59375
9.2653,-46.75,-50.5625
9.26535,-46.8125,-50.6875
9.2654,-46.75,-51.03125
9.265450000000001,-46.4375,-50.90625
9.265500000000001,-46.78125,-50.40625
9.265550000000001,-46.78125,-50.40625
9.265600000000001,-46.53125,-51.03125
9.26565,-46.21875,-51.0625
9.2657,-46.4375,-50.375
9.26575,-46.9375,-50.375
9.2658,-46.8125,-50.78125
9.26585,-46.34375,-50.9375
9.2659,-46.5,-50.78125
9.26595,-46.78125,-50.4375
9.266,-46.46875,-50.5625
9.26605,-46.1875,-50.65625
9.2661,-46.375,-51.0
9.26615,-46.875,-50.65625
9.266200000000001,-46.75,-50.375
9.266250000000001,-46.40625,-50.4375
9.266300000000001,-46.25,-50.71875
9.266350000000001,-46.5625,-50.84375
9.2664,-46.46875,-50.40625
9.26645,-46.40625,-50.25
9.2665,-46.375,-50.5625
9.26655,-46.65625,-50.9375
9.2666,-46.78125,-50.78125
9.26665,-46.53125,-50.34375
9.2667,-46.1875,-50.46875
9.26675,-46.4375,-50.84375
9.2668,-46.59375,-50.90625
9.26685,-46.5625,-50.5
9.2669,-46.4375,-50.40625
9.26695,-46.65625,-50.59375
9.267000000000001,-46.625,-50.90625
9.267050000000001,-46.65625,-50.8125
9.267100000000001,-46.4375,-50.375
9.26715,-46.21875,-50.4375
9.2672,-46.40625,-50.6875
9.26725,-46.78125,-50.875
9.2673,-46.5625,-50.78125
9.26735,-46.21875,-50.34375
9.2674,-46.625,-50.5625
9.26745,-46.65625,-50.78125
9.2675,-46.46875,-50.6875
