time,I_s,I_d,V_s,V_d
13966.1,-241.73805,520.5126,-52.08216,-44.68776
13966.2,-327.8881,673.108,-51.91992,-50.06664
13966.3,-333.8432,582.25214,-51.75456,-48.80616
13966.4,-361.6467,533.5689,-51.90432,-61.4016
13966.5,-217.13927,439.65927,-52.53768,-51.6828
13966.6,-235.95401,472.6666,-53.2116,-48.05736
13966.7,-182.56697,537.3907,-54.4596,-41.78304
13966.8,-224.21611,421.35092,-54.96816,-47.01216
13966.9,-258.44067,346.9739,-55.38312,-52.79664
13967.0,-201.49532,272.85178,-55.3488,-43.54896
13967.1,-301.81583,239.58142,-55.26144,-39.9516
13967.2,-401.81442,196.59016,-55.59528,-37.32768
13967.3,-467.85635,207.84384,-55.37064,-38.38848
13967.4,-461.93448,297.59622,-55.11168,-38.0328
13967.5,-453.38968,349.30072,-55.2084,-42.06384
13967.6,-526.1176,380.71155,-55.76376,-51.16488
13967.7,-423.93597,424.5462,-56.39712,-55.22088
13967.8,-410.7615,242.08148,-56.6592,-56.57496
13967.9,-398.98636,268.9738,-57.486,-58.84944
13968.0,-453.49792,469.67438,-57.96648,-43.37112
13968.1,-506.67773,569.2702,-58.2504,-48.05736
13968.2,-561.5341,511.61642,-58.13808,-64.390564
13968.3,-607.98145,500.38492,-58.04448,-68.955124
13968.4,-607.00244,447.93716,-58.07256,-60.47184
13968.5,-552.09357,314.36835,-58.25664,-58.0476
13968.6,-449.11676,209.46503,-58.70592,-53.23656
13968.7,-380.73724,369.42514,-59.36112,-42.94992
13968.8,-317.72437,245.86967,-60.14736,-37.97352
13968.9,-237.66307,310.21707,-60.64032,-54.07272
13969.0,-211.04013,377.05444,-60.83064,-44.49744
13969.1,-194.90762,269.27637,-60.88368,-51.43632
13969.2,-193.16199,317.73743,-60.63408,-57.0804
13969.3,-39.233257,327.83313,-60.25968,-48.02304
13969.4,-13.056081,338.77213,-59.87904,-53.47992
13969.5,47.026863,256.0252,-60.08808,-54.1788
13969.6,258.60364,373.59668,-59.826,-54.7872
13969.7,367.1075,447.74002,-59.5608,-48.37248
13969.8,353.21292,437.0427,-59.80104,-58.93992
13969.9,413.34372,645.9354,-59.55456,-63.43896
13970.0,468.91064,690.5856,-58.55304,-60.15048
13970.1,518.9736,654.0424,-57.75744,-74.7552
13970.2,531.085,776.5513,-57.09288,-73.07664
13970.3,482.21625,849.2479,-56.47512,-66.0972
13970.4,518.8056,929.8519,-55.74816,-72.59616
13970.5,549.7344,913.8461,-54.8808,-73.90656
13970.6,599.7557,897.8851,-54.46272,-75.39792
13970.7,507.2348,891.5846,-54.21312,-69.3108
13970.8,549.61707,939.7399,-54.05712,-64.59648
13970.9,613.9527,812.2667,-53.36448,-61.445282
13971.0,605.2284,780.9025,-53.17728,-63.34848
13971.1,666.1557,757.868,-53.25528,-51.11808
13971.2,642.9845,762.18756,-53.02128,-49.4676
13971.3,557.991,717.9367,-52.96512,-48.4224
13971.4,575.4286,801.6052,-52.60008,-49.69224
13971.5,501.15387,881.5706,-51.98856,-46.8156
13971.6,382.85092,836.0121,-51.85128,-54.43152
13971.7,406.3089,846.3669,-51.50184,-59.46096
13971.8,528.76776,836.1732,-51.08064,-53.8668
13971.9,479.25076,851.55457,-51.36456,-53.9448
13972.0,538.59344,644.3483,-52.20384,-52.6656
13972.1,502.44174,657.44604,-52.25064,-53.26776
13972.2,385.94232,636.3492,-52.47216,-36.7068
13972.3,422.5117,597.7693,-52.2912,-41.31816
13972.4,414.25064,690.88104,-51.75768,-41.67696
13972.5,446.1088,655.8302,-51.88248,-40.85328
13972.6,408.57632,574.1411,-51.9948,-49.78896
13972.7,334.6174,684.611,-52.2288,-46.99968
13972.8,271.76562,548.53674,-52.16952,-41.42112
13972.9,275.81433,602.81244,-51.94488,-52.23816
13973.0,321.47046,678.4552,-51.792,-40.8096
13973.1,256.04944,729.9302,-52.05408,-47.22744
13973.2,177.92177,728.6528,-52.512722,-53.50488
13973.3,134.3324,854.99835,-52.53768,-56.46576
13973.4,61.031326,843.7958,-52.40664,-54.7248
13973.5,20.399609,936.7894,-52.46592,-62.90544
13973.6,124.49774,890.72815,-52.568882,-58.9056
13973.7,138.88022,863.57117,-52.86216,-63.80712
13973.8,128.11542,839.0131,-53.77008,-56.92752
13973.9,211.53397,846.9219,-54.29424,-53.08992
13974.0,282.15466,709.09064,-54.428402,-50.40984
